hub_name,mean,lower,upper,rider_no
KHH - Cam Ranh - SOU - SUB 2,226.7831325301204,200.42169840122173,253.14456665901932,4.0
KHH - Dien Khanh - SOU - SUB 2,165.9259259259259,141.0453623396457,190.80648951220613,5.153846153846154
KHH - NTR - SOU - DP,684.443548387097,626.6192676527393,742.2678291214542,11.793103448275861
KHH - Nam Nha Trang - SOU - DP,448.2564102564103,393.1266483439306,503.38617216888986,11.157894736842104
KHH - Ninh Hoa - SOU - SUB 2,223.26415094339623,198.1449632699867,248.38333861680576,5.571428571428571
KHH - Van Ninh - SOU - SUB 2,153.82242990654203,139.26486109649244,168.3799987165917,3.411764705882353
KIG - An Thoi - SOU - SUB 2,199.6617647058824,183.6664767160487,215.65705269571603,4.071428571428571
KIG - Giong Rieng - SOU - SUB 2,392.1578947368418,358.85588229016145,425.4599071835224,7.806451612903226
KIG - Ha Tien - SOU - SUB 2,141.5,130.12259367456357,152.87740632543643,3.4
KIG - Hon Dat - SOU - SUB 2,205.5701754385964,197.27583979440126,213.8645110827917,5.2727272727272725
KIG - Kien Giang - SOU,691.4166666666665,663.9477550714748,718.885578261858,11.277777777777779
KIG - Kien Luong - SOU - SUB 2,191.24324324324328,183.11400203908374,199.37248444740274,4.2
KIG - Phu Quoc - SOU - SUB 2,645.0449438202248,615.594185694358,674.4957019460915,10.6
KIG - Tan Hiep - SOU - SUB 2,131.3181818181818,98.01395639936558,164.62240723699804,4.0
KIG - U Minh Thuong - SOU - SUB 2,388.6507936507937,351.16937681445876,426.13221048712865,8.714285714285714
KOT - Kon Tum - SOU,266.173076923077,235.01492268700525,297.3312311591487,6.833333333333333
LA - Can Giuoc - SOU - SUB 2,693.9315068493153,627.2780048515571,760.5850088470726,19.205128205128204
LA - Duc Hoa - SOU - SUB 2,470.8461538461541,416.6563162206094,525.0359914716979,13.416666666666666
LA - Duc Hue - SOU - SUB 2,109.56521739130436,100.51579186741687,118.6146429151918,3.7142857142857144
LA - Kien Tuong - SOU - SUB 2,118.33571428571432,109.14538315315039,127.52604541827819,4.363636363636363
LA - Long An - SOU,780.3418803418806,752.9316774171579,807.7520832666031,15.1875
LA - Thanh Hoa - SOU - SUB 2,179.80152671755727,166.43079184612228,193.17226158899217,6.133333333333334
LA - Thu Thua - SOU - SUB 2,396.44339622641496,381.71002689513716,411.17676555769316,10.055555555555555
LA - Vinh Hung - SOU - SUB 2,143.88524590163934,133.85088461420239,153.91960718907632,4.705882352941177
LAC - Lai Chau - NOR,147.1875,140.03797326815146,154.33702673184854,3.5
