cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,first_deli_ontime_rate,deli_succcess_ontime_day1_rate,deli_succcess_ontime_day2_rate,lm_orders
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,Shopee Vietnam,0.9873417721518988,0.9683544303797469,1.0,158
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,855,HN,Tiki Marketplace,1.0,1.0,1.0,1
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,DS,1.0,0.9,1.0,10
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,EN,1.0,1.0,1.0,2
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Lazada Master Account (ASC),0.96,0.8,1.0,25
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Others,1.0,1.0,1.0,5
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Shopee Vietnam,1.0,0.9372822299651568,1.0,287
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,1231,HN,XB,1.0,1.0,1.0,3
2021-08-15,LA - Long An - SOU,48,South,DS,0.7647058823529411,0.5882352941176471,1.0,17
2021-08-15,LA - Long An - SOU,48,South,EN,0.6666666666666666,0.5,1.0,6
2021-08-15,LA - Long An - SOU,48,South,Lazada Master Account (ASC),0.658493870402802,0.4851138353765324,1.0,571
2021-08-15,LA - Long An - SOU,48,South,Others,0.5,0.0,,2
2021-08-15,LA - Long An - SOU,48,South,Shopee Vietnam,0.863905325443787,0.7692307692307693,1.0,169
2021-08-15,LA - Long An - SOU,48,South,Tiki,1.0,1.0,1.0,1
2021-08-15,LA - Long An - SOU,48,South,Tiki Marketplace,0.8,0.8,1.0,5
2021-08-15,LA - Long An - SOU,48,South,XB,0.0,0.0,,1
2021-08-15,NAD - Nam Dinh - NOR,100,North,Lazada Master Account (ASC),1.0,1.0,1.0,24
2021-08-15,NAD - Nam Dinh - NOR,100,North,Shopee Vietnam,1.0,1.0,1.0,30
2021-08-15,THH - Thanh Hoa - NOR,141,North,Shopee Vietnam,1.0,1.0,1.0,9
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,DS,1.0,1.0,1.0,2
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,EN,1.0,1.0,1.0,3
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,ES,1.0,1.0,1.0,1
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,Lazada Master Account (ASC),1.0,0.8235294117647058,1.0,17
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,Others,1.0,0.9838709677419355,1.0,62
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,Shopee Vietnam,1.0,0.9615384615384616,1.0,26
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,Tiki,1.0,1.0,1.0,4
2021-08-14,DAK - Buon Ho - SOU - SUB 2,377,South,Tiki Marketplace,1.0,1.0,1.0,4
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,DS,0.9907407407407407,0.9259259259259259,0.9901960784313726,108
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,EN,1.0,1.0,1.0,6
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,ES,1.0,0.9090909090909091,0.9090909090909091,11
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Lazada Master Account (ASC),0.983739837398374,0.8902439024390244,0.9446808510638298,246
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Others,1.0,1.0,1.0,4
