cal_date,shipper_group,hub_name,avg_pending_time_dest_hub,avg_delivery_attempts,total_orders,rts_orders,rts_rate
5/27/2021,Shopee,HCM - District 7 - SOU - DP,45.54347826,1.186421174,1738,46,0.026467204
6/21/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,39.64102564,1.08650519,1734,39,0.022491349
1/19/2021,Shopee,HCM - Go Vap A - SOU - DP,47.08510638,1.160023108,1731,47,0.027151935
4/15/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,52.22222222,1.162911612,1731,45,0.025996534
2/25/2021,Shopee,HCM - Phu Nhuan - SOU - DP,47.94871795,1.095320624,1731,39,0.022530329
2/24/2021,Shopee,HCM - District 7 - SOU - DP,41.63636364,1.12305026,1731,33,0.019064125
5/2/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,64.17741935,1.891203704,1728,62,0.03587963
5/18/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,64.42424242,1.191550926,1728,33,0.019097222
5/12/2021,Shopee,HCM - District 10 - SOU - DP,47,1.159024956,1723,40,0.023215322
5/20/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,59.47916667,1.133643231,1721,48,0.027890761
5/31/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,38.61445783,1.172093023,1720,83,0.048255814
4/10/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,71.65306122,1.461269656,1717,49,0.028538148
4/24/2021,Shopee,HCM - District 7 - SOU - DP,65.11627907,1.366336634,1717,43,0.025043681
5/18/2021,Shopee,HCM - Go Vap A - SOU - DP,45.36363636,1.131118881,1716,33,0.019230769
4/17/2021,Shopee,HCM - District 7 - SOU - DP,74.17857143,1.334693878,1715,28,0.016326531
5/4/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,46.16326531,1.156450671,1713,49,0.028604787
2/26/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,66.5952381,1.140105079,1713,42,0.024518389
5/4/2021,Shopee,HCM - Phu Nhuan - SOU - DP,37.30434783,1.137769994,1713,23,0.013426737
6/1/2021,Shopee,HCM - Go Vap A - SOU - DP,41.80357143,1.119298246,1710,56,0.032748538
