cal_date,hub_id,rider_no,parcel_no
2021-05-13,42,17,1036
2021-05-13,125,32,2454
2021-05-14,666,8,341
2021-05-15,666,8,364
2021-05-15,1178,9,567
2021-05-15,558,13,1407
2021-05-16,42,17,1071
2021-05-17,177,6,350
2021-05-18,385,8,501
2021-05-20,112,28,2567
2021-05-20,281,17,1418
2021-05-20,1074,3,91
2021-05-21,610,4,174
2021-05-24,1261,6,485
2021-05-25,285,9,686
2021-05-26,1222,10,835
2021-05-27,662,5,179
2021-05-27,441,6,317
2021-05-28,558,12,1158
2021-05-28,42,20,618
2021-05-28,693,5,324
2021-05-28,289,8,268
2021-05-30,112,10,477
2021-05-31,381,10,518
2021-05-02,285,5,180
2021-05-06,277,27,1119
2021-05-07,1274,6,320
2021-05-07,762,4,548
2021-05-10,1213,6,523
2021-05-10,606,7,366
2021-05-12,125,31,2414
2021-05-15,337,3,182
2021-05-15,693,4,444
2021-05-16,289,10,195
2021-05-17,1087,2,65
2021-05-19,289,8,253
2021-05-19,1274,5,252
2021-05-20,277,30,1007
2021-05-20,662,4,179
2021-05-21,558,11,1337
2021-05-21,614,5,88
2021-05-21,337,3,172
2021-05-22,433,5,334
2021-05-22,1018,5,128
2021-05-22,658,3,164
2021-05-25,554,9,313
2021-05-25,289,9,277
2021-05-25,329,5,220
2021-05-30,1230,14,853
2021-05-31,433,7,712
2021-05-13,662,5,141
2021-05-06,1126,3,170
2021-05-06,614,4,65
2021-05-06,329,5,326
2021-05-07,433,5,322
2021-05-09,801,2,7156
2021-05-11,1222,9,771
2021-05-21,762,4,291
2021-05-28,389,4,156
2021-05-28,662,4,178
2021-05-30,389,1,1
2021-05-15,1005,8,554
2021-05-23,1005,1,2
2021-05-27,1026,1,32
2021-05-29,337,3,167
2021-05-31,1074,3,123
2021-05-05,614,4,66
2021-05-10,12,6,1640
2021-05-18,1130,1,23
2021-05-19,610,4,191
2021-05-15,1261,7,278
2021-05-29,329,1,14
2021-05-05,1130,1,34
2021-05-28,1087,1,9
2021-05-14,1087,1,17
2021-05-23,801,1,2485
2021-05-31,1174,1,196
2021-05-09,1213,1,0
2021-05-21,1026,1,32
2021-05-11,1174,1,214
2021-03-01,177,9,220
2021-03-01,614,6,140
2021-03-02,1178,10,476
2021-03-03,666,8,280
2021-03-03,381,8,147
2021-03-03,1230,26,5604
2021-03-04,666,9,413
2021-03-04,554,6,278
2021-03-04,337,4,263
2021-03-04,762,3,538
2021-03-04,329,5,238
2021-03-05,1009,13,1340
2021-03-06,666,7,334
2021-03-06,1213,8,319
2021-03-06,1222,9,654
2021-03-07,433,5,190
2021-03-08,125,33,3361
2021-03-08,385,9,538
2021-03-10,216,34,7032
2021-03-09,441,8,321
2021-03-11,277,23,806
2021-03-11,610,3,119
2021-03-12,666,8,316
2021-03-12,1070,21,856
2021-03-13,277,22,742
2021-03-15,112,46,5229
2021-03-16,1178,9,524
2021-03-16,385,9,472
2021-03-16,606,6,194
2021-03-17,289,11,242
2021-03-17,1018,6,76
2021-03-18,285,8,491
2021-03-18,1222,9,730
2021-03-18,437,16,167
2021-03-18,281,17,1229
2021-03-18,1074,3,66
2021-03-19,1222,9,620
2021-03-19,437,17,195
2021-03-19,614,4,66
2021-03-19,125,29,2044
2021-03-20,333,4,101
2021-03-22,1087,1,24
2021-03-23,108,22,1007
2021-03-31,281,18,1452
2021-03-24,1009,11,691
2021-03-26,1222,10,774
2021-03-27,42,16,3583
2021-03-27,1230,24,3610
2021-03-29,112,40,5502
2021-03-30,381,6,78
2021-03-31,277,28,867
2021-03-02,385,7,459
2021-03-15,1222,9,887
2021-03-15,1213,8,434
2021-03-15,1009,12,1188
2021-03-17,1195,6,190
2021-03-19,337,3,144
2021-03-25,666,8,292
2021-03-28,389,1,0
2021-03-29,554,7,258
2021-03-30,693,7,533
2021-03-01,1087,1,19
2021-03-02,1018,6,90
2021-03-12,441,7,243
2021-03-20,1022,2,63
2021-03-22,1170,2,39
2021-03-22,441,6,308
2021-03-23,1213,7,261
2021-03-28,693,1,0
2021-03-05,337,4,307
2021-03-07,277,3,28
2021-03-09,610,3,153
2021-03-15,1087,1,17
2021-03-16,1074,3,68
2021-03-22,610,3,78
2021-03-31,1026,1,40
2021-03-13,762,3,556
2021-03-22,1022,3,79
2021-03-03,1078,1,17
2021-03-23,1130,1,13
2021-03-04,1130,1,52
2021-03-19,1174,1,17
2021-03-24,1022,2,59
2021-03-12,1087,1,9
2021-03-17,1174,1,78
2021-03-18,1078,1,6
2021-04-01,42,16,1277
2021-04-02,125,33,2213
2021-04-02,610,3,123
2021-04-02,437,11,235
2021-04-03,1005,9,459
2021-04-04,433,5,214
2021-04-04,389,3,78
2021-04-05,125,35,5204
2021-04-06,285,8,645
2021-04-06,1230,27,6763
2021-04-07,108,17,1184
2021-04-08,42,17,1837
2021-04-08,558,12,948
2021-04-08,1274,6,292
2021-04-08,177,13,449
2021-04-09,1261,8,318
2021-04-10,1213,6,228
2021-04-10,441,7,269
2021-04-11,1070,18,322
2021-04-12,1074,3,98
2021-04-13,1070,34,1157
2021-04-13,281,17,1653
2021-04-14,1230,24,2200
2021-04-15,42,16,2482
2021-04-15,12,5,815
2021-04-16,216,37,9882
2021-04-16,329,5,255
2021-04-18,108,2,162
2021-04-17,666,8,329
2021-04-18,1070,7,101
2021-04-19,42,15,1853
2021-04-19,1130,1,21
2021-04-22,433,7,390
2021-04-22,1274,5,238
2021-04-23,1018,6,116
2021-04-23,112,23,1745
2021-04-23,801,3,7600
2021-04-26,277,20,1018
2021-04-26,1274,6,358
2021-04-27,177,7,321
2021-04-27,1261,11,208
2021-04-28,329,5,239
2021-04-28,1070,27,949
2021-04-29,381,9,166
2021-04-29,614,6,63
2021-04-01,381,8,221
2021-04-01,281,16,1090
2021-04-03,381,7,143
2021-04-03,1074,3,70
2021-04-03,1126,2,78
2021-04-04,441,5,125
2021-04-05,1178,8,627
2021-04-09,1005,7,457
2021-04-12,662,5,210
2021-04-13,1078,1,17
2021-04-15,1018,6,76
2021-04-17,389,5,143
2021-04-17,333,3,87
2021-04-17,662,5,151
2021-04-25,112,10,344
2021-04-26,12,4,498
2021-04-26,762,4,677
2021-04-28,1195,4,228
2021-04-29,606,8,168
2021-04-14,441,5,259
2021-04-20,693,5,213
2021-04-27,389,3,140
2021-04-02,1126,2,87
2021-04-03,1026,1,24
2021-04-07,1026,1,38
2021-04-08,1001,1,16
2021-04-09,12,4,1146
2021-04-09,1130,1,23
2021-04-16,1001,1,22
2021-04-23,337,3,209
2021-04-23,1009,12,1150
2021-04-09,337,3,195
2021-04-18,385,1,0
2021-04-29,1087,1,113
2021-04-03,1087,1,5
2021-04-15,658,3,124
2021-04-27,1026,1,35
2021-04-23,1026,1,34
2021-04-10,1087,1,8
2021-04-20,1001,1,16
2021-01-04,1070,21,1269
2021-01-05,1230,34,2203
2021-01-06,42,14,1059
2021-01-07,1230,30,2543
2021-01-07,658,3,178
2021-01-08,1070,30,1437
2021-01-09,762,3,558
2021-01-09,177,9,176
2021-01-10,277,7,238
2021-01-11,281,17,1528
2021-01-12,125,31,2495
2021-01-12,285,8,513
2021-01-14,1087,1,21
2021-01-15,277,15,882
2021-01-15,437,8,231
2021-01-15,329,5,223
2021-01-15,610,3,116
2021-01-15,1213,7,299
2021-01-16,108,22,1681
2021-01-18,441,7,500
2021-01-18,437,11,191
2021-01-18,1230,30,3758
2021-01-18,289,7,390
2021-01-18,108,23,2106
2021-01-18,793,1,0
2021-01-19,337,4,223
2021-01-19,1070,41,1300
2021-01-21,614,6,84
2021-01-22,606,7,165
2021-01-22,1074,3,84
2021-01-23,277,22,926
2021-01-23,554,6,211
2021-01-24,433,5,260
2021-01-24,112,20,880
2021-01-24,125,12,194
2021-01-25,112,41,7364
2021-01-26,42,14,1141
2021-01-27,1178,10,625
2021-01-27,285,8,548
2021-01-27,1213,10,343
2021-01-28,693,6,278
2021-01-28,1213,9,441
2021-01-29,433,5,355
2021-01-29,1222,7,626
2021-01-29,554,6,345
2021-01-30,385,5,490
2021-01-31,42,13,1015
2021-01-02,1195,4,264
2021-01-04,614,6,116
2021-01-04,610,3,116
2021-01-04,658,3,203
2021-01-07,389,3,135
2021-01-13,437,8,245
2021-01-14,1130,1,17
2021-01-18,554,6,313
2021-01-19,1022,4,187
2021-01-20,441,7,484
2021-01-28,329,5,220
2021-01-30,1009,13,1102
2021-01-31,666,7,238
2021-01-02,1078,1,32
2021-01-04,1022,3,86
2021-01-07,554,6,194
2021-01-09,381,5,143
2021-01-11,610,3,110
2021-01-12,337,3,176
2021-01-12,658,3,201
2021-01-12,385,6,514
2021-01-13,1195,6,263
2021-01-15,1126,3,98
2021-01-26,666,8,370
2021-01-26,1074,3,74
2021-01-27,1170,2,33
2021-01-30,1001,1,10
2021-01-11,1022,2,90
2021-01-15,606,6,231
2021-01-30,337,3,4
2021-01-27,381,4,181
2021-01-28,1022,3,133
2021-01-11,1001,1,43
2021-01-13,1170,2,43
2021-01-18,1087,1,30
2021-01-22,389,3,149
2021-01-23,762,3,601
2021-01-02,1001,1,26
2021-01-10,437,1,18
2021-01-11,658,3,19
2021-01-20,801,2,7576
2021-01-27,1174,1,2738
2021-01-28,433,4,353
2021-01-08,1078,1,32
2021-01-12,1126,2,104
2021-01-22,801,1,5849
2021-01-01,289,1,0
2021-01-08,1087,1,30
2021-01-27,1001,1,20
2021-02-01,125,35,4412
2021-02-01,1009,11,1137
2021-02-01,441,7,557
2021-02-01,108,22,1990
2021-02-01,614,7,108
2021-02-02,42,14,1968
2021-02-03,433,5,103
2021-02-03,666,7,341
2021-02-03,658,3,221
2021-02-03,385,7,491
2021-02-04,1070,25,1058
2021-02-05,662,10,706
2021-02-08,558,10,1208
2021-02-06,662,13,735
2021-02-08,554,5,297
2021-02-08,610,3,79
2021-02-09,1222,7,161
2021-02-18,281,13,842
2021-02-19,42,14,1308
2021-02-20,1178,12,489
2021-02-19,1126,2,124
2021-02-20,1222,7,642
2021-02-20,289,8,348
2021-02-21,1230,19,1211
2021-02-22,1213,9,406
2021-02-22,1126,3,226
2021-02-22,433,6,422
2021-02-24,1005,10,627
2021-02-24,337,4,287
2021-02-25,1018,6,35
2021-02-26,666,9,396
2021-02-26,437,11,335
2021-02-03,389,3,153
2021-02-03,333,1,0
2021-02-04,1087,1,25
2021-02-06,12,5,1519
2021-02-09,1213,8,244
2021-02-16,762,2,220
2021-02-18,693,6,169
2021-02-20,762,4,807
2021-02-20,381,6,112
2021-02-21,381,7,206
2021-02-27,281,17,1017
2021-02-10,437,1,0
2021-02-20,693,4,182
2021-02-20,177,10,247
2021-02-20,329,5,306
2021-02-25,801,1,2854
2021-02-25,606,6,183
2021-02-28,666,1,13
2021-02-23,1195,5,296
2021-02-01,1001,1,52
2021-02-07,1130,1,15
2021-02-25,1087,1,8
2021-02-23,1026,1,59
