,hub_region,hub_sector,hub_id,hub_name,sl_rate,observation_num,mean,lower,upper,range,rider_no
86,North,BTB,1081,NGA - Thai Hoa - NOR - SUB 2,0.93,64,100.0,100.0,200.0,30.057654711422483,4.0
87,North,BTB,1083,HAT - Huong Son - NOR - SUB 2,0.93,48,100.0,100.0,100.0,26.284385144149855,2.0
88,North,BTB,1084,THH - Ngoc Lac - NOR - SUB 2,0.93,42,100.0,100.0,100.0,11.811556620998777,3.0
89,North,BTB,1086,NGA - Thanh Chuong - NOR - SUB 2,0.93,36,100.0,100.0,100.0,19.234606697357666,3.0
90,North,BTB,1087,THH - Muong Lat - NOR - SUB 2,0.93,18,0.0,0.0,0.0,13.175759621788375,1.0
91,North,BTB,1089,THH - Lang Chanh - NOR - SUB 2,0.93,69,0.0,0.0,0.0,3.7198519519891766,2.0
92,North,BTB,1106,NGA - Yen Thanh - NOR - SUB 2,0.93,52,400.0,300.0,400.0,114.36704700094415,6.0
93,North,BTB,1107,NGA - Quy Hop - NOR - SUB 2,0.93,38,100.0,100.0,100.0,16.090040234998128,2.0
94,North,BTB,1115,NGA - Anh Son - NOR - SUB 2,0.93,43,100.0,100.0,100.0,8.68729243285424,2.0
95,North,BTB,1116,NGA - Que Phong - NOR - SUB 2,0.93,4,0.0,0.0,0.0,43.71178573806468,2.0
96,North,BTB,1131,NGA - Con Cuong - NOR - SUB 2,0.93,43,0.0,0.0,0.0,14.668474750718158,2.0
97,North,BTB,1132,NGA - Tuong Duong - NOR - SUB 2,0.93,12,0.0,0.0,0.0,17.309478161469546,2.0
98,North,BTB,1165,NGA - Ky Son - NOR - SUB 2,0.93,13,0.0,0.0,0.0,13.20523100643583,1.0
99,North,BTB,1187,NGA - Cua Lo - NOR - SUB 2,0.93,65,100.0,100.0,100.0,12.058393137516873,3.0
100,North,BTB,1208,NGA - Nghi Loc - NOR - SUB 2,0.93,38,100.0,100.0,200.0,59.20206900284654,6.0
101,North,BTB,1248,NGA - Dien Chau - NOR - SUB 2,0.93,94,200.0,200.0,300.0,58.836274621002765,5.0
102,North,DBSH,26,HD - Hai Duong - NOR,0.93,132,1200.0,1100.0,1300.0,204.78611768874998,13.0
103,North,DBSH,28,HP - Hai Phong - NOR,0.93,100,1300.0,1200.0,1300.0,95.38973828710914,14.0
104,North,DBSH,42,BN - Bac Ninh - NOR,0.93,74,1300.0,1200.0,1300.0,117.02275612603277,16.0
105,North,DBSH,45,HY - Hung Yen - NOR,0.93,89,700.0,700.0,800.0,64.09221890703361,10.0
106,North,DBSH,62,THB - Thai Binh - NOR,0.93,108,1300.0,1200.0,1300.0,127.69281905777507,15.0
107,North,DBSH,100,NAD - Nam Dinh - NOR,0.93,133,2600.0,2500.0,2700.0,161.81657940426157,16.0
108,North,DBSH,140,QUN - Ha Long - NOR,0.93,94,1200.0,1100.0,1200.0,96.59602346640577,15.0
109,North,DBSH,143,NIB - Ninh Binh - NOR,0.93,83,700.0,600.0,700.0,109.13368817832489,10.0
110,North,DBSH,149,VIP - Vinh Phuc - NOR,0.93,97,1700.0,1600.0,1700.0,117.9140017473353,18.0
111,North,DBSH,161,HAN - Ha Nam - NOR,0.93,61,900.0,900.0,900.0,81.40928644371252,12.0
112,North,DBSH,243,BN - Luong Tai - NOR - SUB 2,0.93,109,900.0,800.0,900.0,90.32815590897758,9.0
113,North,DBSH,245,HP - Vinh Bao - NOR - SUB 2,0.93,64,300.0,300.0,300.0,84.04625156506293,6.0
114,North,DBSH,251,HY - Yen My - NOR - SUB 2,0.93,97,900.0,900.0,900.0,63.231858227570456,10.0
115,North,DBSH,255,HD - Chi Linh - NOR - SUB 2,0.93,70,400.0,400.0,400.0,34.97384988812644,6.0
116,North,DBSH,283,QUN - Cam Pha - NOR,0.93,71,600.0,600.0,600.0,52.78798905754206,9.0
117,North,DBSH,285,QUN - Uong Bi - NOR,0.93,78,400.0,400.0,500.0,97.37521826187226,8.0
118,North,DBSH,331,QUN - Mong Cai - NOR,0.93,72,300.0,300.0,300.0,28.26441608362643,7.0
119,North,DBSH,333,QUN - Tien Yen - NOR - SUB 2,0.93,54,100.0,100.0,200.0,17.3485157974456,4.0
120,North,DBSH,335,QUN - Dong Trieu - NOR - SUB 2,0.93,88,300.0,300.0,300.0,24.057812042004002,6.0
121,North,DBSH,337,QUN - Hai Ha - NOR - SUB 2,0.93,102,200.0,200.0,200.0,16.387265979945845,3.0
122,North,DBSH,339,VIP - Lap Thach - NOR - SUB 2,0.93,21,300.0,300.0,400.0,174.33047316853322,7.0
123,North,DBSH,343,NAD - Hai Hau - NOR - SUB 2,0.93,112,900.0,900.0,900.0,87.58863310520337,13.0
124,North,DBSH,355,THB - Hung Ha - NOR - SUB 2,0.93,51,500.0,400.0,500.0,69.96198734745214,6.0
125,North,DBSH,363,NIB - Gia Vien - NOR - SUB 2,0.93,65,300.0,300.0,300.0,21.14574256380274,6.0
126,North,DBSH,443,HD - Kim Thanh - NOR - SUB 2,0.93,64,400.0,300.0,400.0,93.85688366212024,7.0
127,North,DBSH,499,NIB - Kim Son - NOR - SUB 2,0.93,102,400.0,300.0,400.0,39.6514074060517,7.0
128,North,DBSH,1005,BN - Que Vo - NOR - SUB 2,0.93,79,400.0,400.0,500.0,90.10710716983964,9.0
