Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Hn,VN,metro,,vn,2020-08-01T17:40:10Z,DP,HN,1205,1,,12:00,21.0230404,105.8613266,HN - Hoan Kiem - NOR - DP,,HN,HN,HN,vn,0,0,,HN,2020-08
Tien Giang,VN,sub3,,vn,2019-05-23T18:04:39Z,STATION,MT,980,1,1,12:00,10.3495488,106.4701085,TG - Tan Phu Dong - SOU - SUB 2,,TG,South,Tiền Giang,vn,0,0,,South,2019-05
Ho Chi Minh,VN,,,vn,2019-05-24T15:59:27Z,OTHERS,Others,991,0,0,12:00,1.0,1.0,Share Liability BAG: HCM WH + Freight - EXP SOU,,Sha,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-05
Binh Dinh,VN,sub2,,vn,2019-05-23T18:08:48Z,STATION,MTTN,983,0,1,12:00,14.092914,108.788954,BID - Vinh Thanh - SOU - SUB 2,,BID,South,Bình Định,vn,0,0,,South,2019-05
VN,VN,,,vn,2019-05-17T16:31:42Z,OTHERS,Others,974,0,0,12:00,1.0,1.0,Share Liable,,Sha,HCM,VN,vn,0,0,,HCM,2019-05
Kien Giang,VN,sub3,,vn,2019-05-23T17:59:31Z,STATION,MT,977,0,1,12:00,9.679662,104.350403,KIG - Kien Hai - SOU - SUB 2,,KIG,South,Kiên Giang,vn,0,0,,South,2019-05
Quang Ngai,VN,sub3,,vn,2019-03-12T18:22:14Z,STATION,MTTN,924,0,1,12:00,15.259839,108.522597,QNG - Tra Bong - SOU - SUB 2,,QNG,South,Quảng Ngãi,vn,0,0,,Central,2019-03
Dak Nong,VN,sub3,,vn,2019-03-12T18:24:45Z,STATION,MTTN,928,0,1,12:00,12.0144324,107.6787392,DAN - Krong No - SOU - SUB 2,,DAN,South,Đắk Nông,vn,0,0,,South,2019-03
Vietnam,VN,,,vn,2015-10-20T11:42:50Z,OTHERS,Others,1,0,0,12:00,1.0,1.0,VIET,,VIE,HCM,,vn,0,0,,HCM,2015-10
Kon Tum,VN,sub3,,vn,2019-02-12T17:55:33Z,STATION,MTTN,902,0,1,12:00,15.082872,107.73759,KOT - Dak Glei - SOU - SUB 2,,KOT,South,Kon Tum,vn,0,0,,South,2019-02
Kon Tum,VN,sub3,,vn,2019-02-12T17:57:05Z,STATION,MTTN,910,0,1,12:00,14.404421,107.800704,KOT - Sa Thay - SOU - SUB 2,,KOT,South,Kon Tum,vn,0,0,,South,2019-02
Ho Chi Minh,VN,metro,,vn,2021-08-08T22:20:15Z,CROSSDOCK,HCM,103365,0,,12:00,10.765586,106.582483,HCM - Zone 25 - SOU,,HCM,HCM,Transit Hub_Southern,vn,0,0,,HCM,2021-08
