hub_id,hub_name,hub_region,province_code,created_month
992,HN - Thanh Oai - NOR - SUB 2 - DP,HN,HN,2019-06
993,PTH - Phu Ninh - NOR - SUB 2,North,PTH,2019-06
994,DAN - Tuy Duc - SOU - SUB 2,South,DAN,2019-06
996,HN - Thanh Tri - NOR - SUB 2 - DP,HN,HN,2019-06
999,DAK - MDrak - SOU - SUB 2,South,DAK,2019-07
1193,DN - Cam My - SOU - SUB 2,South,DN,2020-06
1187,NGA - Cua Lo - NOR - SUB 2,North,NGA,2020-06
1192,QUN - Co To Van Don - NOR - SUB 2,North,QUN,2020-06
1162,QUA - Nam Tra My - SOU - SUB 2,South,QUA,2020-04
1160,VT - Con Dao - SOU - SUB 2,South,VT,2020-04
1166,HCM Hub Liable,HCM,HCM,2020-04
1163,QUA - Nam Giang 2 - SOU - SUB 2,South,QUA,2020-04
1165,NGA - Ky Son - NOR - SUB 2,North,NGA,2020-04
538,GIL - Chu Se - SOU - SUB 2,South,GIL,2018-06
542,BIP - Bu Gia Map - SOU - SUB 2,South,BIP,2018-06
566,QUB - Le Thuy - NOR - SUB 2,North,QUB,2018-06
598,TUQ - Chiem Hoa - NOR - SUB 2,North,TUQ,2018-06
507,KIG - Giong Rieng - SOU - SUB 2,South,KIG,2018-06
530,BID - Phu Cat - SOU - SUB 2,South,BID,2018-06
546,BIP - Loc Ninh - SOU - SUB 2,South,BIP,2018-06
650,YEB - Nghia Lo - NOR - SUB 2,North,YEB,2018-06
534,PHY - Tuy An - SOU - SUB 2,South,PHY,2018-06
554,DN - Vinh Cuu - SOU - SUB 2,South,DN,2018-06
610,HAT - Nghi Xuan - NOR - SUB 2,North,HAT,2018-06
558,THH - Hoang Hoa - NOR - SUB 2,North,THH,2018-06
602,TUQ - Yen Son - NOR - SUB 2,North,TUQ,2018-06
522,CT - Thot Not - SOU - SUB 2,South,CT,2018-06
570,SOL - Song Ma - NOR - SUB 2,North,SOL,2018-06
578,SOL - Bac Yen - NOR - SUB 2,North,SOL,2018-06
582,SOL - Muong La - NOR - SUB 2,North,SOL,2018-06
638,QUT - Vinh Linh - NOR - SUB 2,North,QUT,2018-06
586,DIB - Tua Chua - NOR - SUB 2,North,DIB,2018-06
550,VT - Phu My - SOU - SUB 2,South,VT,2018-06
594,TUQ - Son Duong - NOR - SUB 2,North,TUQ,2018-06
574,SOL - Mai Son - NOR - SUB 2,North,SOL,2018-06
618,QUT - Hai Lang - NOR - SUB 2,North,QUT,2018-06
630,LCA - Van Ban - NOR - SUB 2,North,LCA,2018-06
511,BET - Binh Dai - SOU - SUB 2,South,BET,2018-06
518,HN - Main Hub Fleet - NOR,HN,HN,2018-06
614,QUT - Huong Hoa - NOR - SUB 2,North,QUT,2018-06
