hub_id,hub_name,hub_region,province_code,hub_sector,area,created_month
1010,HP - An Duong - NOR - SUB 2,North,HP,DBSH,Non-Metro,2019-09
1027,BAK - Na Ri - NOR - SUB 2,North,BAK,NMM,Non-Metro,2019-09
1061,CAB - Quang Uyen - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1078,QUA - Phuoc Son - SOU - SUB 2,South,QUA,MTTN,Non-Metro,2019-09
1051,LAS - Chi Lang - NOR - SUB 2,North,LAS,NMM,Non-Metro,2019-09
1080,TTH - A Luoi - NOR - SUB 2,North,TTH,BTB,Non-Metro,2019-09
1003,BET - Cho Lach - SOU - SUB 2,South,BET,MT,Non-Metro,2019-09
1016,YEB - Mu Cang Chai - NOR - SUB 2,North,YEB,NMM,Non-Metro,2019-09
1022,THH - Nhu Thanh - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1023,THH - Thach Thanh - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1040,SOL - Yen Chau - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-09
1079,TTH - Phong Dien - NOR - SUB 2,North,TTH,BTB,Non-Metro,2019-09
1004,DNG - Lien Chieu - SOU - DP,South,DNG,MTTN,Non-Metro,2019-09
1009,BN - Tu Son - NOR - SUB 2,North,BN,DBSH,Non-Metro,2019-09
1019,TUQ - Na Hang - NOR - SUB 2,North,TUQ,NMM,Non-Metro,2019-09
1025,THH - Quan Hoa - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1056,LAS - Van Quan - NOR - SUB 2,North,LAS,NMM,Non-Metro,2019-09
1062,CAB - Trung Khanh - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1071,BD - Phu Giao - SOU - SUB 2,South,BD,DNB,Non-Metro,2019-09
1072,BD - Dau Tieng - SOU - SUB 2,South,BD,DNB,Non-Metro,2019-09
1005,BN - Que Vo - NOR - SUB 2,North,BN,DBSH,Non-Metro,2019-09
1017,YEB - Luc Yen - NOR - SUB 2,North,YEB,NMM,Non-Metro,2019-09
1021,TUQ - Lam Binh - NOR - SUB 2,North,TUQ,NMM,Non-Metro,2019-09
1028,THH - Quan Son - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1058,CAB - Ha Quang - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1059,CAB - Thong Nong - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1032,SOL - Quynh Nhai - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-09
1034,SOL - Thuan Chau - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-09
1043,HAG - Quang Binh - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1048,LAC - Sin Ho - NOR - SUB 2,North,LAC,NMM,Non-Metro,2019-09
1013,HP - Thuy Nguyen - NOR - SUB 2,North,HP,DBSH,Non-Metro,2019-09
1031,BAK - Cho Don - NOR - SUB 2,North,BAK,NMM,Non-Metro,2019-09
1035,HAG - Yen Minh - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1052,LAC - Muong Te - NOR - SUB 2,North,LAC,NMM,Non-Metro,2019-09
1066,CAB - Bao Lam - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1024,THH - Thuong Xuan - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1045,HAT - Huong Khe - NOR - SUB 2,North,HAT,BTB,Non-Metro,2019-09
1057,CAB - Tra Linh - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1074,CT - Phong Dien - SOU - SUB 2,South,CT,MT,Non-Metro,2019-09
1075,LA - Thu Thua - SOU - SUB 2,South,LA,DNB,Non-Metro,2019-09
1026,BAK - Ngan Son - NOR - SUB 2,North,BAK,NMM,Non-Metro,2019-09
1041,HAG - Hoang Su Phi - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1042,HAG - Xin Man - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1044,HAT - Duc Tho - NOR - SUB 2,North,HAT,BTB,Non-Metro,2019-09
1020,TUQ - Ham Yen - NOR - SUB 2,North,TUQ,NMM,Non-Metro,2019-09
1036,SOL - Phu Yen - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-09
1063,CAB - Ha Lang - NOR - SUB 2,North,CAB,NMM,Non-Metro,2019-09
1070,BD - Thuan Giao - SOU - SUB 2,South,BD,DNB,Non-Metro,2019-09
1050,LAC - Nam Nhun - NOR - SUB 2,North,LAC,NMM,Non-Metro,2019-09
151,PTH - Phu Tho - NOR,North,PTH,NMM,Non-Metro,2017-09
112,HCM - Binh Thanh 1 - SOU - DP,HCM,HCM,HCM,Metro,2017-09
153,KIG - Kien Giang - SOU,South,KIG,MT,Non-Metro,2017-09
141,THH - Thanh Hoa - NOR,North,THH,BTB,Non-Metro,2017-09
143,NIB - Ninh Binh - NOR,North,NIB,DBSH,Non-Metro,2017-09
147,HCM - District 7 - SOU - DP,HCM,HCM,HCM,Metro,2017-09
155,HCM - District 12 A - SOU - DP,HCM,HCM,HCM,Metro,2017-09
138,ANG - An Giang - SOU,South,ANG,MT,Non-Metro,2017-09
145,BIP - Binh Phuoc - SOU,South,BIP,DNB,Non-Metro,2017-09
130,HCM - Go Vap A - SOU - DP,HCM,HCM,HCM,Metro,2017-09
149,VIP - Vinh Phuc - NOR,North,VIP,DBSH,Non-Metro,2017-09
120,HCM - District 9 A - SOU - DP,HCM,HCM,HCM,Metro,2017-09
116,HCM - District 10 - SOU - DP,HCM,HCM,HCM,Metro,2017-09
140,QUN - Ha Long - NOR,North,QUN,DBSH,Non-Metro,2017-09
125,HCM - District 2 - SOU - DP,HCM,HCM,HCM,Metro,2017-09
999,DAK - MDrak - SOU - SUB 2,South,DAK,MTTN,Non-Metro,2019-07
13,BD - Binh Duong - SOU,South,BD,DNB,Non-Metro,2016-07
92,TRV - Tra Vinh - SOU,South,TRV,MT,Non-Metro,2017-07
96,SOT - Soc Trang - SOU,South,SOT,MT,Non-Metro,2017-07
88,DOT - Dong Thap - SOU,South,DOT,MT,Non-Metro,2017-07
1149,QUA - Dong Giang - SOU - SUB 2,South,QUA,MTTN,Non-Metro,2020-03
